PARK ID,PARK NAME,CLASSIFICATION,FULL ADDRESS,CITY,ZIP,RECREATION CENTER,FITNESS CENTER,STADIUM,ADULT LEISURE PROGRAM,PLAYGOUND,RESTROOM,SWIMMING POOL,SPRAY PAD,AQUATIC CENTER,INDOOR BASKETBALL,OUTDOOR BASKETBALL,BASEBALL UNLIGHTED,BASEBALL LIGHTED,SOCCER FIELD,RUGBY FIELD,INDOOR TENNIS COURT,TENNIS UNLIGHTED,TENNIS LIGHTED,GOLF COURSE 9 HOLE,GOLF COURSE 18 HOLE,DISC GOLF,BOCCE BALL,CROQUET,FISHING LAKE,DOG PARK,SKATE PARK,CYCLING VELODROME,BMX TRACK,MOUNTAIN BIKE TRAIL,WALKING PATH SURFACED,WALKING LOOP,EQUESTRIAN,ARCHERY  RANGE,AIRGUN RANGE,GEOLOCATION
97,Kolby Park,Neighborhood,10620 CENTRAL PINE DR,CENTRAL,70818,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10620 CENTRAL PINE DR
CENTRAL 70818
(30.545177, -91.021348)"
47,Dayton Street Park,Neighborhood,2404 DAYTON ST,BATON ROUGE,70805,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,"2404 DAYTON ST
BATON ROUGE 70805
(30.488063, -91.166205)"
137,Perkins Road Community Park,Community,7122 PERKINS RD,BATON ROUGE,70808,1,,1,,2,1,,,,1,,,3,,,,2,,,,,,,1,,1,1,1,,1,1,,,,"7122 PERKINS RD
BATON ROUGE 70808
(30.397948, -91.114163)"
32,Central Sports Park,Special Facility,10501 LOVETT RD,CENTRAL,70818,,,,,,,,,,,,,5,,,,,,,,,,,1,,,,,,,1,,,,"10501 LOVETT RD
CENTRAL 70818
(30.537635, -91.065432)"
45,Cortana Place Park,Neighborhood,9300 CORTANA PL,BATON ROUGE,70815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9300 CORTANA PL
BATON ROUGE 70815
(30.461258, -91.091979)"
88,Jefferson Highway Park,Neighborhood,8133 JEFFERSON HWY,BATON ROUGE,70809,1,,,1,1,1,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,"8133 JEFFERSON HWY
BATON ROUGE 70809
(30.422974, -91.102929)"
116,Mary Ruth Park,Neighborhood,8808 MARY RUTH AVE,BATON ROUGE,70810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8808 MARY RUTH AVE
BATON ROUGE 70810
(30.386113, -91.111457)"
92,Kathy Drive Park,Neighborhood,1801 KATHY DR,BATON ROUGE,70816,1,,,,1,4,,,,1,1,,3,1,,,,,,,,,,,,,,,,,,,,,"1801 KATHY DR
BATON ROUGE 70816
(30.443249, -91.014462)"
134,Parklawn Park,Neighborhood,12228 PARKLAWN AVE,BATON ROUGE,70816,1,,,1,1,,,,,,,1,,,,,2,,,,,,1,,,,,,,,,,,,"12228 PARKLAWN AVE
BATON ROUGE 70816
(30.404021, -91.044949)"
104,Ligon Road Park,Neighborhood,21600 LIGON RD,ZACHARY,70791,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,"21600 LIGON RD
ZACHARY 70791
(30.671966, -91.222636)"
